Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
"Malay, Kelantan (-Pattani)",patt1249,patt1249,,,,1277,5*,Austronesian
Tarok,taro1263,taro1263,,,,1433,5*,Atlantic-Congo
Rigwe (Irigwe),irig1241,irig1241,,,,1433,6a*,Atlantic-Congo
Gbari,gbar1246,gbar1246,,,,1433,6a,Atlantic-Congo
Ijo,ijoo1239,ijoo1239,,,,10,4,Ijoid
Akoose,akoo1248,akoo1248,,,,1433,5,Atlantic-Congo
Bakundu (oroko),orok1266,orok1266,,,,1433,5,Atlantic-Congo
Yasa,yasa1242,yasa1242,,,,1433,5,Atlantic-Congo
Dagbani,dagb1246,dagb1246,,,,1433,4,Atlantic-Congo
Mampruli,mamp1244,mamp1244,,,,1433,2,Atlantic-Congo
Sherdukpen,sher1257,sher1257,,,,496,6a,Sino-Tibetan
Hruso,hrus1242,hrus1242,,,,1,6b,Hruso
Mocoví,moco1246,moco1246,,,,5,6b,Guaicuruan
"Spanish, Argentinian",Ø,Ø,,,,589,1,Indo-European
Korean Sign Language,kore1273,kore1273,,,,196,4,Sign Language
Alipur Sign Language,alip1234,alip1234,,,,196, ,Sign Language
Tanzanian Sign Language,tanz1238,tanz1238,,,,196,5,Sign Language
Walman,valm1241,valm1241,,,,55,7,Nuclear Torricelli
Srenge,aruo1240,aruo1240,,,,55,6b,Nuclear Torricelli
Pame,nort2984,nort2984,,,,180,6a,Otomanguean
Toraja,tora1262,tora1262,,,,1277,5,Austronesian
Makalero,maki1245,maki1245,,,,23,6a,Timor-Alor-Pantar
Kenyah,kaya1332,kaya1332,,,,1277,6b*,Austronesian
Iban,iban1264,iban1264,,,,1277,3,Austronesian
Busang,busa1255,busa1255,,,,1277,6b*,Austronesian
Benua,benu1246,benu1246,,,,1277,6a*,Austronesian
