Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
Fulfulde,fula1264,fula1264,,,,1433,3,Atlantic-Congo
Fwe,fwee1238,fwee1238,,,,1433,6a,Atlantic-Congo
"Ígálâ (West Benue-Congo, Nigeria) ",igal1242,igal1242,,,,1433,4,Atlantic-Congo
Gusli,Ø,Ø,,,,1433,5,Atlantic-Congo
Siamou,siam1242,siam1242,,,,1,6a*,Siamou
Makaa,maka1304,maka1304,,,,1433,5*,Atlantic-Congo
Jenjo,Ø,Ø,,,,1433,6b,Atlantic-Congo
Chimiini,chim1312,chim1312,,,,1433,1,Atlantic-Congo
Ndebele,sout2808,sout2808,,,,1433,1,Atlantic-Congo
Kera,kera1255,kera1255,,,,375,5*,Afro-Asiatic
Anii,anii1245,anii1245,,,,1433,5,Atlantic-Congo
Nyakyusa,nyak1261,nyak1261,,,,1433,5,Atlantic-Congo
Hadza,hadz1240,hadz1240,,,,1,6b,Hadza
Daats’iin,daat1234,daat1234,,,,3,6a,Gumuz
Gumuz,gumu1250,gumu1250,,,,3,4,Gumuz
Kalaw Lagaw Ya,kala1377,kala1377,,,,248,5*,Pama-Nyungan
Gugu Badhun,gugu1253,gugu1253,,,,248,9,Pama-Nyungan
Aria,Ø,Ø,,,,1277,5*,Austronesian
Eleman,nucl1580,nucl1580,,,,5, ,Eleman
Roro,roro1238,roro1238,,,,1277,5,Austronesian
Kabadi,abad1241,abad1241,,,,1277,5,Austronesian
Hula,hula1239,hula1239,,,,1277,5,Austronesian
Keapara,keap1239,keap1239,,,,1277,5*,Austronesian
Galoma,Ø,Ø,,,,1277,5*,Austronesian
Wedau,weda1241,weda1241,,,,1277,3,Austronesian
Taupota,taup1242,taup1242,,,,1277,6a,Austronesian
Galavi,Ø,Ø,,,,1277,5*,Austronesian
Mukawa,aree12391,aree12391,,,,1277,5*,Austronesian
Pagu,pagu1249,pagu1249,,,,15,7,North Halmahera
Kallahan,kall1244,kall1244,,,,1277,5,Austronesian
Binukid,binu1244,binu1244,,,,1277,5*,Austronesian
Coastal Kadazan,coas1294,coas1294,,,,1277,6b,Austronesian
Central Dusun,cent2100,cent2100,,,,1277,6b,Austronesian
Bisayah,bisa1268,bisa1268,,,,1277,5*,Austronesian
"Kadazan, Tambunan",tamb1254,tamb1254,,,,1277, ,Austronesian
Lotud,lotu1250,lotu1250,,,,1277,6b,Austronesian
Sumambuq,taga1273,taga1273,,,,1277,6b,Austronesian
"Paitan, Membangan",Ø,Ø,,,,1277, ,Austronesian
Biatah,biat1246,biat1246,,,,1277,6b,Austronesian
Bintulu,bint1246,bint1246,,,,1277,6b*,Austronesian
Narom,naro1251,naro1251,,,,1277,6b*,Austronesian
"Malay, Balai Berkuak",Ø,Ø,,,,1277, ,Austronesian
"Onya Darat, Samandang",naucl1557,naucl1557,,,,1277, ,Austronesian
"Javanese, Banten",bant1285,bant1285,,,,1277,4,Austronesian
Wotu,wotu1240,wotu1240,,,,1277,7,Austronesian
Andio,andi1257,andi1257,,,,1277,7,Austronesian
Tondano,tond1251,tond1251,,,,1277,8a,Austronesian
Tombulu,tomb1243,tomb1243,,,,1277,7,Austronesian
Rongga,rong1269,rong1269,,,,1277,6a*,Austronesian
"Kerinci, Sungai Penuh",Ø,Ø,,,,1277, ,Austronesian
Yapese,yare1248,yare1248,,,,1277,2,Austronesian
Fila,fila1237,fila1237,,,,1277,5*,Austronesian
Sikayana,sika1261,sika1261,,,,1277,8a,Austronesian
Lengo,leng1259,leng1259,,,,1277,6a,Austronesian
Cuyunon,cuyo1237,cuyo1237,,,,1277,5*,Austronesian
Kalagan,kala1388,kala1388,,,,1277,6b,Austronesian
Magindanao,magu1243,magu1243,,,,1277,4,Austronesian
Tasaday,tasa1241,tasa1241,,,,1277,5,Austronesian
Saek,saek1240,saek1240,,,,95,6b*,Tai-Kadai
"Bru, Eastern",east2332,east2332,,,,156,5*,Austroasiatic
"Kayan, Long Miri",Ø,Ø,,,,1277, ,Austronesian
"Kelabit, Bario",bari1288,bari1288,,,,1277,6b*,Austronesian
"Penan, Long Iman",Ø,Ø,,,,1277, ,Austronesian
Teiwa,teiw1235,teiw1235,,,,23,6a*,Timor-Alor-Pantar
Anamuxra,anam1248,anam1248,,,,316,6a,Nuclear Trans New Guinea
Meryam Mir,meri1244,meri1244,,,,4,6b*,Eastern Trans Fly
Kantyu,Ø,Ø,,,,248, ,Pama-Nyungan
Uchumataqu,uruu1244,uruu1244,,,,2,9,Uru-Chipaya
Shiwilu,jebe1250,jebe1250,,,,2,7,Cahuapanan
Asheninca,ashe1273,ashe1273,,,,78,5,Arawakan
Trukese,chuu1238,chuu1238,,,,1277,2,Austronesian
Mali,mali1284,mali1284,,,,6,6b,Baining
Golin,goli1247,goli1247,,,,316,5*,Nuclear Trans New Guinea
Daga,daga1275,daga1275,,,,9,5,Dagan
Seenku,seek1238,seek1238,,,,75,6a,Mande
Tommo So (Dogon),tomm1242,tomm1242,,,,20,6a,Dogon
Manna,mann1245,mann1245,,,,1277, ,Austronesian
Sheko,shek1245,shek1245,,,,3,4,Dizoid
Wolaitta,wola1242,wola1242,,,,19,3,Ta-Ne-Omotic
Gwama,kwam1249,kwam1249,,,,5,6b,Koman
Awngi,awng1244,awng1244,,,,375,5,Afro-Asiatic
Dizin,dizi1235,dizi1235,,,,3,4,Dizoid
Mebengokre,kaya1330,kaya1330,,,,30,5,Nuclear-Macro-Je
Tulu,tulu1258,tulu1258,,,,80,5*,Dravidian
Tuvan,tuvi1240,tuvi1240,,,,44,2,Turkic
"Sentani, Eastern",east1632,east1632,,,,4,5*,Sentanic
"Sentani, Central",cent2123,cent2123,,,,4,5*,Sentanic
"Sentani, Western",west2602,west2602,,,,4,5*,Sentanic
"Enets, Forest",fore1265,fore1265,,,,48,8a,Uralic
Kâte,kate1253,kate1253,,,,316,3,Nuclear Trans New Guinea
Keo,keoo1238,keoo1238,,,,1277,6a,Austronesian
Duna,duna1248,duna1248,,,,1,6a,Duna
Djadjawurrung,djad1246,djad1246,,,,248,10,Pama-Nyungan
Kurrama,kurr1243,kurr1243,,,,248,8b,Pama-Nyungan
Yan-nhangu,yann1237,yann1237,,,,248,8a,Pama-Nyungan
Fitzroy Valley Kriol,Ø,Ø,,,,589,3,Indo-European
Barngarla,bang1339,bang1339,,,,248,9,Pama-Nyungan
‘Are’are,area1240,area1240,,,,1277,5,Austronesian
Wagdi,wagd1238,wagd1238,,,,589,3,Indo-European
Oshikwanyama,kuan1247,kuan1247,,,,1433,3,Atlantic-Congo
Sri Lanka Portuguese,mala1544,mala1544,,,,589, ,Indo-European
"Trique, San Martin Itunyoso",sanm1298,sanm1298,,,,180,6b*,Otomanguean
Doromu-Koki,doro1266,doro1266,,,,,4,Manubaran
Selepet,sele1250,sele1250,,,,316,5*,Nuclear Trans New Guinea
Tanna,tann1242,tann1242,,,,1277,5*,Austronesian
Andai,anda1238,anda1238,,,,4,6a,Arafundi
Nanubae,nanu1240,nanu1240,,,,4,6b,Arafundi
Tapei,tape1242,tape1242,,,,4,6a,Arafundi
"Ojibwa, Ottawa",otta1242,otta1242,,,,46,7,Algic
Kalamang,kara1499,kara1499,,,,3,8a,West Bomberai
Norwegian,norw1258,norw1258,,,,589,1,Indo-European
"Gaelic, Scottish",scot1245,scot1245,,,,589,2,Indo-European
Kovai,kova1243,kova1243,,,,316,5,Nuclear Trans New Guinea
Penobscot,peno1243,peno1243,,,,46,9,Algic
Yalaku,yelo1243,yelo1243,,,,36,6a,Sepik
Kui,kuii1254,kuii1254,,,,23,6b,Timor-Alor-Pantar
Mi’kmaw (Mi’kmaq),mikm1235,mikm1235,,,,46,6b,Algic
Solon,solo1263,solo1263,,,,13,6b,Tungusic
Ulcha,ulch1241,ulch1241,,,,13,8a,Tungusic
Nanai,nana1257,nana1257,,,,13,8b,Tungusic
Sibe,sibe1248,sibe1248,,,,13,6b,Tungusic
Negidal,negi1245,negi1245,,,,13,8a,Tungusic
"Atayal, Wulai",atay1247,atay1247,,,,1277,7,Austronesian
Guinea-Bissau Kriyol,uppe1455,uppe1455,,,,589,3,Indo-European
"Bajau, Semporna",baja1262,baja1262,,,,1277,4,Austronesian
Ngaju,ngaj1237,ngaj1237,,,,1277,3,Austronesian
Manombai,mano1275,mano1275,,,,1277,6a*,Austronesian
"Bru, Western",west2397,west2397,,,,156,6a*,Austroasiatic
Rapoisi,rapo1238,rapo1238,,,,4,4,North Bougainville
Momu,fass1245,fass1245,,,,2,6b,Baibai-Fas
Bungku,bung1269,bung1269,,,,1277,6b,Austronesian
Sangir,sang1336,sang1336,,,,1277,5,Austronesian
Angkola Batak,bata1290,bata1290,,,,1277,6b,Austronesian
"Tamazight, Ait Ndhir",Ø,Ø,,,,375,6b,Afro-Asiatic
Kokborok,kokb1239,kokb1239,,,,496,4,Sino-Tibetan
Ngarinyeri,narr1259,narr1259,,,,248,9,Pama-Nyungan
Iu Mien,iumi1238,iumi1238,,,,39,5,Hmong-Mien
Wutun,gutu1241,gutu1241,,,,496,6a,Sino-Tibetan
Chippewa,chip1241,chip1241,,,,46,7,Algic
"Arabic, Central Asian",Ø,Ø,,,,375,8a,Afro-Asiatic
Asturian,astu1246,astu1246,,,,589,6b,Indo-European
Tonkawa,tonk1249,tonk1249,,,,1,9,Tonkawa
Makuva,maku1277,maku1277,,,,1277,8b,Austronesian
Belep,nyal1254,nyal1254,,,,1277,6b*,Austronesian
Eyak,eyak1241,eyak1241,,,,46,9,Athabaskan-Eyak-Tlingit
Inati,atii1237,atii1237,,,,1277,6b*,Austronesian
Paiwan,paiw1248,paiw1248,,,,1277,6b,Austronesian
Romansch,roma1326,roma1326,,,,589,2,Indo-European
Kanowit,kano1244,kano1244,,,,1277,6b,Austronesian
Tuwari,tuwa1242,tuwa1242,,,,4,6b*,Walioic
Patani,pata1260,pata1260,,,,1277,6a*,Austronesian
Leie,Ø,Ø,,,,1277, ,Austronesian
Idu,idum1241,idum1241,,,,496,6b,Sino-Tibetan
Kur,kurr1245,kurr1245,,,,1277,6b*,Austronesian
"Yupik, Chugach Pacific Gulf",paci1278*,paci1278*,,,,12,8a,Eskimo-Aleut
"Yupik, Koniag Pacific Gulf",ask David,ask David,,,,12,8a,Eskimo-Aleut
Sarikoli,sari1246,sari1246,,,,589,6b,Indo-European
"Aleut, Eastern",east2533,east2533,,,,12,8a,Eskimo-Aleut
Kalmyk,kalm1244,kalm1244,,,,16, ,Mongolic-Khitan
"Aymara, Muylaq’",east2533,east2533,,,,4, ,Aymaran
Hupa,hupa1240,hupa1240,,,,46,8b,Athabaskan-Eyak-Tlingit
Bima,bima1247,bima1247,,,,1277,6a*,Austronesian
Fordata,ford1242,ford1242,,,,1277,6b*,Austronesian
"Lampung, Api",lamp1243,lamp1243,,,,1277,6a,Austronesian
"Malay, Narathiwat",Ø,Ø,,,,1277, ,Austronesian
Konkani,konk1267,konk1267,,,,589,2,Indo-European
"Dutch, Lower Saxon",Ø,Ø,,,,589, ,Indo-European
"Dutch, Central Franconian",midd1321,midd1321,,,,589, ,Indo-European
"Dutch, Low Franconian",wese1235,wese1235,,,,589, ,Indo-European
Byangsi,byan1241,byan1241,,,,496,6b*,Sino-Tibetan
Kharam,khar1288,khar1288,,,,496,6a,Sino-Tibetan
Darma,darm1243,darm1243,,,,496,6b*,Sino-Tibetan
Dzala,dzal1238,dzal1238,,,,496,6a*,Sino-Tibetan
Esselen,esse1238,esse1238,,,,1,9,Esselen
Cholon,chol1284,chol1284,,,,2,10,Hibito-Cholon
Pangasinan,pang1290,pang1290,,,,1277,3,Austronesian
Jérriais,gerr1238,gerr1238,,,,589,8b,Indo-European
"Punan, Aput",puna1267,puna1267,,,,1277,6b,Austronesian
Shoshone,shos1248,shos1248,,,,69,6b,Uto-Aztecan
"Judaeo-Spanish, Istanbul",Ø,Ø,,,,589,8a,Indo-European
Ba� nounk Gubëeher,gube1234,gube1234,,,,1433, ,Atlantic-Congo
Yankunytjatjara,yank1247,yank1247,,,,248,8a,Pama-Nyungan
"Wergaia, Djadjala",Ø,Ø,,,,248, ,Pama-Nyungan
"Shona, Chikaranga",Ø,Ø,,,,1433,3,Atlantic-Congo
"Low German, Western",west2357,west2357,,,,589, ,Indo-European
"German, Allgovian Swabian",swab1242,swab1242,,,,589, ,Indo-European
Laha,laha1251,laha1251,,,,1277,6a,Austronesian
Saumlaki,keii1239,keii1239,,,,1277,6a,Austronesian
"Lombard, Ticinese",tici1238,tici1238,,,,589,6a*,Indo-European
"Low German, Marne Dithmarschen Western",Ø,Ø,,,,589, ,Indo-European
"German, Giessen Central Hessian",hess1238,hess1238,,,,589, ,Indo-European
"German, Neustadt a.d. Aisch Franconian",Ø,Ø,,,,589, ,Indo-European
"Arabic, Chadian",chad1249,chad1249,,,,375,3,Afro-Asiatic
"Dargwa, Tanti",sirh1243,sirh1243,,,,34, ,Nakh-Daghestanian
"Sorbian, Upper",uppe1395,uppe1395,,,,589,6b,Indo-European
Ibanag,iban1267,iban1267,,,,1277,4,Austronesian
Itawit,itaw1240,itaw1240,,,,1277,5*,Austronesian
Chinook Wawa,chin1272,chin1272,,,,4,9,Chinookan
Shawnee,shaw1249,shaw1249,,,,46,8a,Algic
Arapaho,arap1274,arap1274,,,,46,8a,Algic
"Miwok, Northern Sierra",nort2968,nort2968,,,,11, ,Miwok-Costanoan
"Maidu, Northeast",nort2952,nort2952,,,,4,9,Maiduan
Wiyot,wiyo1248,wiyo1248,,,,46,9,Algic
Nek,nekk1240,nekk1240,,,,316,5,Nuclear Trans New Guinea
Gizrra,gizr1240,gizr1240,,,,4,4,Eastern Trans Fly
"Boazi, Kuni",kuni1263,kuni1263,,,,17,5,Anim
Sam,samm1244,samm1244,,,,316,6a,Nuclear Trans New Guinea
Dinka,dink1262,dink1262,,,,55,5,Nilotic
Kwakw’ala,kwak1269,kwak1269,,,,6,8a,Wakashan
Miriwung,miri1266,miri1266,,,,3,8b,Jarrakan
"Maybrat, Karon",karo1303,karo1303,,,,1, ,Maybrat-Karon
Ramoaaina,ramo1244,ramo1244,,,,1277,5,Austronesian
Fanamaket,make1251,make1251,,,,1277,5,Austronesian
Aramba,aram1253,aram1253,,,,19,4,Yam
Uare,uare1241,uare1241,,,,3,5,Kwalean
Onobasulu,onob1238,onob1238,,,,7,5,Bosavi
Murui,muru1274,muru1274,,,,7,6b*,Huitotoan
Zaparo,zapa1253,zapa1253,,,,6,8b,Zaparoan
Chiquimulilla,xinc1242,xinc1242,,,,5, ,Xincan
Borgarmålet,borg1236,borg1236,,,,589, ,Indo-European
Tol,toll1241,toll1241,,,,2,7,Jicaquean
Urat,urat1244,urat1244,,,,55,6b,Nuclear Torricelli
Seimat,seim1238,seim1238,,,,1277,4,Austronesian
Numanggang,numa1254,numa1254,,,,316,5,Nuclear Trans New Guinea
Beng,beng1286,beng1286,,,,75,6a*,Mande
"Basque, Labourdin",labo1236,labo1236,,,,1,2,Basque
Mbosi,mbos1242,mbos1242,,,,1433,6b,Atlantic-Congo
Unua,unua1237,unua1237,,,,1277,6a,Austronesian
"English, New Zealand",newz1240,newz1240,,,,589, ,Indo-European
Tolomako,tolo1255,tolo1255,,,,1277,6b,Austronesian
Marramaninjsji,mari1417,mari1417,,,,11,9,Western Daly
Marringarr,mari1419,mari1419,,,,11,8b,Western Daly
Ngan'gityemerri,nang1259,nang1259,,,,2,7,Southern Daly
Hiri Motu,hiri1237,hiri1237,,,,1277,3,Austronesian
Leko,leco1242,leco1242,,,,1,8b,Leco
Kombio,komb1272,komb1272,,,,55,7,Nuclear Torricelli
Jingulu,djin1251,djin1251,,,,5,8a,Mirndi
Baniwa (Central),hoho1238,hoho1238,,,,78,8a,Arawakan
Ngaing,ngai1241,ngai1241,,,,316,5,Nuclear Trans New Guinea
Mussau-Emira,muss1246,muss1246,,,,1277,5,Austronesian
Ngochang,ngoc1235,ngoc1235,,,,496,7,Sino-Tibetan
"Chin, Teddim",Ø,Ø,,,,496,5,Sino-Tibetan
"Karen, Bwe",bwek1238,bwek1238,,,,496,6b,Sino-Tibetan
"Khmer, Northern",nort2684,nort2684,,,,156,5*,Austroasiatic
Negerhollands,nege1244,nege1244,,,,589,10,Indo-European
"Lamaholot, Atadei",sout2896,sout2896,,,,1277,3,Austronesian
Reunion Creole,reun1238,reun1238,,,,589,6a*,Indo-European
Warluwarra,warl1256,warl1256,,,,248,10,Pama-Nyungan
Arbëresh,arbe1236,arbe1236,,,,589,6b,Indo-European
Paluai,balu1257,balu1257,,,,1277,6a,Austronesian
Galo,galo1242,galo1242,,,,496,5,Sino-Tibetan
"Karen, Lahta",laht1236,laht1236,,,,496,6a,Sino-Tibetan
Turung,turu1249,turu1249,,,,95,10,Tai-Kadai
Faroese,faro1244,faro1244,,,,589,1,Indo-European
Karaim,kara1464,kara1464,,,,44,8a,Turkic
Zaiwa,zaiw1241,zaiw1241,,,,496,5,Sino-Tibetan
Abawiri,foau1240,foau1240,,,,20,6a,Lakes Plain
"Nias, Utara",Ø,Ø,,,,1277, ,Austronesian
"Tanana, Lower",lowe1425,lowe1425,,,,46,8a,Athabaskan-Eyak-Tlingit
Kaska,kask1239,kask1239,,,,46,7,Athabaskan-Eyak-Tlingit
Nmbo,namb1293,namb1293,,,,19,6a,Yam
"Lak, Balkhar",Ø,Ø,,,,34, ,Nakh-Daghestanian
Manxineri,mach1268,mach1268,,,,78,7,Arawakan
Baure,baur1253,baur1253,,,,78,8a,Arawakan
"Zapotec, Isthmus",isth1244,isth1244,,,,180,5*,Otomanguean
"Mapudungun, Ranquel",Ø,Ø,,,,2,6b,Araucanian
"Chavacano, Ternate",tern1247,tern1247,,,,589,6b*,Indo-European
Fula (Guinean),fula1264,fula1264,,,,1433, ,Atlantic-Congo
Polri,Ø,Ø,,,,1433,2,Atlantic-Congo
"Biak, Betew",Ø,Ø,,,,1277,6b*,Austronesian
"Judaeo-Arabic, Casablanca",jude1265,jude1265,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Tunisian",jude1263,jude1263,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Urban Libyan",jude1264,jude1264,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Rural Libyan",Ø,Ø,,,,375, ,Afro-Asiatic
"Biak, Numfor",biak1248,biak1248,,,,1277,6a*,Austronesian
"Arabic, Chaouia Moroccan",tach1249,tach1249,,,,375,6a*,Afro-Asiatic
"Arabic, Masmouda Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Ouezzane Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Meknes Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Safi Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Beni Mellal Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Marrakesh Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Iqilnuqu Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Judaeo-Arabic, Tazzerte Moroccan",Ø,Ø,,,,375, ,Afro-Asiatic
"Romani, Erromintxela",erro1240,erro1240,,,,589,8a,Indo-European
Khimt’anga,xamt1239,xamt1239,,,,375, ,Afro-Asiatic
Tugun,tugu1245,tugu1245,,,,1277,6a,Austronesian
Namakir,nama1268,nama1268,,,,1277,6a*,Austronesian
"Beja, Hadendowa",hade1248,hade1248,,,,375,5,Afro-Asiatic
Asa-Awurto Saho,Ø,Ø,,,,375, ,Afro-Asiatic
War,warj1242,warj1242,,,,156,6a,Austroasiatic
Lyngngam,lyng1241,lyng1241,,,,156,6b*,Austroasiatic
Cheng,jeng1241,jeng1241,,,,156, ,Austroasiatic
"English, Indonesian Schoolchildren Jargon",Ø,Ø,,,,589,1,Indo-European
"Mee, Wosokuno",Ø,Ø,,,,316, ,Nuclear Trans New Guinea
Melayu Sini,Ø,Ø,,,,1277, ,Austronesian
Tolitoli,toli1244,toli1244,,,,1277,7,Austronesian
"Tagalog, Colloquial",Ø,Ø,,,,1277,3,Austronesian
Mag-Anchi Ayta,maga1263,maga1263,,,,1277,6b,Austronesian
"Aramaic, Zakho Jewish",Ø,Ø,,,,375, ,Afro-Asiatic
"Malay, Manado",mala1481,mala1481,,,,1277,3,Austronesian
Miju,miju1243,miju1243,,,,496,6a*,Sino-Tibetan
Buga-Khwe,Ø,Ø,,,,14,5,Khoe-Kwadi
ǁAni-Khwe,Ø,Ø,,,,14,5,Khoe-Kwadi
Tjwao,tjwa1234,tjwa1234,,,,14,7,Khoe-Kwadi
Naro,naro1249,naro1249,,,,14,3,Khoe-Kwadi
"Javanese, Salatiga",Ø,Ø,,,,1277, ,Austronesian
"Javanese, Surabaya",sura1245,sura1245,,,,1277,4,Austronesian
Denaina,tana1289,tana1289,,,,46,7,Athabaskan-Eyak-Tlingit
Gwich’in,gwic1235,gwic1235,,,,46,7,Athabaskan-Eyak-Tlingit
Surigaonon,suri1273,suri1273,,,,1277,4,Austronesian
Anindilyakwa,anin1240,anin1240,,,,12,6a*,Gunwinyguan
Badimaya,badi1246,badi1246,,,,248,8b,Pama-Nyungan
Wiru,wiru1244,wiru1244,,,,1,5*,Wiru
"Bunaq, Gai",Ø,Ø,,,,23,6a*,Timor-Alor-Pantar
"Uab Meto, Baikeno",baik1238,baik1238,,,,1277,6a,Austronesian
"Arabic, Rural Palestinian",Ø,Ø,,,,375, ,Afro-Asiatic
"Indonesian, Oecussi",Ø,Ø,,,,1277, ,Austronesian
Osing,osin1257,osin1257,,,,1277,6a,Austronesian
"Moi, Klabra",kala1256,kala1256,,,,5,6b*,West Bird�s Head
Amungme,Ø,Ø,,,,1,6b*,Damal
Nduga,ndug1245,ndug1245,,,,316,5*,Nuclear Trans New Guinea
"Bawean, Malaysian",bawe1237,bawe1237,,,,1277,5,Austronesian
"Asmat, Joerat",Ø,Ø,,,,316, ,Nuclear Trans New Guinea
"English, Chamorro",Ø,Ø,,,,589,1,Indo-European
"Malay, Makassarese",maka1311,maka1311,,,,1277,3,Austronesian
Kasem,kase1253,kase1253,,,,1433,5,Atlantic-Congo
Chru,chru1239,chru1239,,,,1277,6b*,Austronesian
Cua,cuaa1241,cuaa1241,,,,156,6b*,Austroasiatic
Hre,hree1244,hree1244,,,,156,5,Austroasiatic
"Arabic, Benishangul",Ø,Ø,,,,375,4,Afro-Asiatic
Sakai (Senoic),seno1278,seno1278,,,,1277, ,Austronesian
"English, Maine Algonquian",Ø,Ø,,,,589,1,Indo-European
"Spanish, Nicaraguan",Ø,Ø,,,,589,1,Indo-European
Nicaragua Creole English,nika1252,nika1252,,,,589,4,Indo-European
Karitiana,kari1311,kari1311,,,,71,5*,Tupian
Jarawara,jara1276,jara1276,,,,6,4,Arawan
Jamamadi,east2800,east2800,,,,6,4,Arawan
"Portuguese, Curitiba Brazilian",Ø,Ø,,,,589, ,Indo-European
Aka,yaka1272,yaka1272,,,,1433, ,Atlantic-Congo
Baka,baka1272,baka1272,,,,1433,5,Atlantic-Congo
"Spanish, Mexico City Mexican",Ø,Ø,,,,589,1,Indo-European
Lole,lole1239,lole1239,,,,1277, ,Austronesian
Walloon,wall1255,wall1255,,,,589,6b,Indo-European
"Huilliche, Tsesungún",tses1238,tses1238,,,,2,8b,Araucanian
"Italian, Ticinese",tici1238,tici1238,,,,589, ,Indo-European
Barain,bare1279,bare1279,,,,375,5*,Afro-Asiatic
"English, North New Mexican",Ø,Ø,,,,589, ,Indo-European
"Basque, Western",Ø,Ø,,,,1,2,Basque
Kere,kere1300,kere1300,,,,316, ,Nuclear Trans New Guinea
Hawaiian Creole,Ø,Ø,,,,589,5,Indo-European
"Malay, Singapore",sing1270,sing1270,,,,1277, ,Austronesian
"French, Belgian",Ø,Ø,,,,589, ,Indo-European
"Arabic, Iraqi",Ø,Ø,,,,375,3,Afro-Asiatic
"Italian, Bolzano",Ø,Ø,,,,589, ,Indo-European
"Central Kurdish, Mukri",mukr1239,mukr1239,,,,589,1,Indo-European
Nedebang,nede1245,nede1245,,,,23,6b*,Timor-Alor-Pantar
"Mandarin, Indonesian",Ø,Ø,,,,496, ,Sino-Tibetan
"Embera, Northern",nort2972,nort2972,,,,9,5*,Chocoan
"Portuguese, Rio Grande do Sul",Ø,Ø,,,,589, ,Indo-European
Gedaged,geda1237,geda1237,,,,1277,5*,Austronesian
Westrobothnian,Ø,Ø,,,,589, ,Indo-European
"Persian, Bandari",band1335,band1335,,,,589,1,Indo-European
"Comorian, Ngazidja",ngaz1238,ngaz1238,,,,1433,5*,Atlantic-Congo
"Dargwa, Sanzhi",sans1248,sans1248,,,,34, ,Nakh-Daghestanian
"Spanish, Sevilla",Ø,Ø,,,,589,1,Indo-European
"Arabic, Algiers",algi1247,algi1247,,,,375,3,Afro-Asiatic
"Malagasy, Sakalava",saka1291,saka1291,,,,1277,6a,Austronesian
Guyanese Creole English,creo1235,creo1235,,,,589,5*,Indo-European
Koromu,kesa1244,kesa1244,,,,316,6b,Nuclear Trans New Guinea
"Tz’utujil, San Juan La Laguna",Ø,Ø,,,,33, ,Mayan
"Hakka, West Kalimantan",Ø,Ø,,,,496, ,Sino-Tibetan
"Tz’utujil, Santiago Atitlán",Ø,Ø,,,,33,4,Mayan
"Wamesa, Wandamen",wand1267,wand1267,,,,1277,6b*,Austronesian
"Mentawai, Sipora",Ø,Ø,,,,1277,5*,Austronesian
Ulwa (PNG),yaul1241,yaul1241,,,,3,8a,Ulmapo
"Swahili, Pemba",pemb1239,pemb1239,,,,1433,1,Atlantic-Congo
"Irish, Connacht",conn1243,conn1243,,,,589, ,Indo-European
"Irish, Munster",Ø,Ø,,,,589, ,Indo-European
Abkhaz,abkh1244,abkh1244,,,,5,2,Abkhaz-Adyge
"Babylonian, Old",oldb1249,oldb1249,,,,375, ,Afro-Asiatic
Peruvian Sign Language,peru1235,peru1235,,,,196,5,Sign Language
Icelandic Sign Language,icel1236,icel1236,,,,196,6a,Sign Language
"English, Australian Aboriginal",Ø,Ø,,,,589, ,Indo-European
Serbian,serb1264,serb1264,,,,589,1,Indo-European
Croatian,croa1245,croa1245,,,,589,1,Indo-European
Scots,scot1243,scot1243,,,,589,5,Indo-European
"Javanese, Southern Banyuwangi",Ø,Ø,,,,1277, ,Austronesian
"Agta, Isarog",isar1235,isar1235,,,,1277,8b,Austronesian
"Ifugao, Tuwali",tuwa1243,tuwa1243,,,,1277,5,Austronesian
Keley-i,kele1259,kele1259,,,,1277,5,Austronesian
Yattuka,Ø,Ø,,,,1277, ,Austronesian
"Bikol, Northern Catanduanes",nort2883,nort2883,,,,1277,6a,Austronesian
"Yugur, Western",west2402,west2402,,,,44,8a,Turkic
"Arabic, Rahat Bedouin",Ø,Ø,,,,375, ,Afro-Asiatic
"Malay, Ulu Trengganu",Ø,Ø,,,,1277, ,Austronesian
"Sadri, Guwahati",Ø,Ø,,,,589,3,Indo-European
Hangzhou,hang1257,hang1257,,,,496,5,Sino-Tibetan
Wenzhou,ouji1238,ouji1238,,,,496,5,Sino-Tibetan
West Polesian,Ø,Ø,,,,589, ,Indo-European
Bola,bola1250,bola1250,,,,1277,6b,Austronesian
Ishkashimi,ishk1246,ishk1246,,,,589,6b,Indo-European
"Kriol, Kimberley",Ø,Ø,,,,589, ,Indo-European
Ope,Ø,Ø,,,,1277, ,Austronesian
Ahe,ask David,ask David,,,,1277, ,Austronesian
Desa,Ø,Ø,,,,1277,3,Austronesian
Ribun,ribu1241,ribu1241,,,,1277,6a*,Austronesian
Mali,mali1284,mali1284,,,,1277, ,Austronesian
"German, Bavarian",bava1246,bava1246,,,,589,5*,Indo-European
