society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B86,Burarra,xd941,gunn1247,Gun-narta,Maningrida,B014,27.35878,,1973,,
B150,Luiseño,xd1133,luis1253,Luiseno,Uto-Aztecan,B014,28.96812,,1860,,
B196,Yavapai,xd1203,yava1252,Yavapai,Cochimi-Yuman,B014,28.96812,,1870,,
B96,Kuku (Yalanji),xd946,kuku1273,Kuku-Yalanji,Pama-Nyungan,B014,28.96812,,1880,,
B19,Kadar,xd912,kada1242,Kadar,Dravidian,B014,30.57746,,1946,,
B317,Wenatchi,xd1148,wena1241,Wenatchi,Salishan,B014,30.57746,,1870,,
B277,Lummi,xd1074,lumm1243,Lummi,Salishan,B014,32.1868,,1880,,
B269,Alsea,xd1088,alse1251,Alsea-Yaquina,,B014,35.40548,,1860,,
B186,Yurok,xd1101,yuro1248,Yurok,Algic,B014,38.62416,,1850,,
B297,Chugach,xd1027,chug1254,Chugach,Eskimo-Aleut,B014,38.84962853,,1930,,"Note, Binford Table 5.01 lists '64.3736 km', but without attributing the value to a specific reference, so the value from table 8.04 is displayed here."
B273,Nuu chah nulth,xd1070,nuuc1236,Nuu-chah-nulth,Wakashan,B014,40.2335,,1880,,
B295,Eyak,xd1102,eyak1241,Eyak,Athabaskan-Eyak-Tlingit,B014,40.2335,,1890,,
B93,Yintjingga,xd945,ayab1239,Yintyinka-Ayabadhu,Pama-Nyungan,B014,40.2335,,1930,,
B185,Maidu,xd1110,nort2952,Northeast Maidu,Maiduan,B014,45.06152,,1850,,
B274,Lower Chinook,xd1078,chin1286,Chinook,Chinookan,B014,45.06152,,1850,,
B292,Tlingit,xd1082,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,B014,48.2802,,1880,Special reference to Southern Tlingit,"Note, two estimates provided by Binford, the first refers specifically to Southern Tlingit (48.3 km) and the second to Chilkat Tlingit (88.5 km); this entry is one of those estimates"
B98,Walmbaria,xd947,flin1247,Flinders Island,Pama-Nyungan,B014,48.2802,,1926,,
B288,Kwakwaka'wakw,xd1090,kwak1269,Kwak'wala,Wakashan,B014,49.88954,,1890,,
B73,Naron,xd7,naro1249,Naro,Khoe-Kwadi,B014,49.88954,,1910,,
B115,Jinibarra,xd962,yaga1256,Yagara-Jandai,Pama-Nyungan,B014,51.49888,,1840,,
B175,Central Sierra Miwok,xd1136,cent2140,Central Sierra Miwok,Miwok-Costanoan,B014,51.49888,,1850,,
B82,Kaurareg,xd937,kala1377,Kala Lagaw Ya,Pama-Nyungan,B014,51.49888,,1848,,
B153,Nomlaki,xd1107,noml1242,Nomlaki,Wintuan,B014,53.10822,,1850,,
B208,Kuyuidokado,xd1160,sout2967,South Northern Paiute,Uto-Aztecan,B014,53.10822,,1860,,Binford estimate
B38,Pumé,xd1345,pume1238,Pumé,,B014,53.10822,,1989,,
